camera_id,fps,total_frames,num_tracks,mean_track_len_frames,median_track_len_frames,mean_track_len_sec,median_track_len_sec,mean_completeness,stationary_fraction_overall,stationary_fraction_vehicle,stationary_fraction_person,moving_person,stationary_person,moving_vehicle,stationary_vehicle,moving_other,stationary_other
s1-left,14.402503672478764,451,20,130.3,47.0,9.345597339246119,3.263321507760531,0.9789304679647411,0.25,0.2777777777777778,0.0,2,0,13,5,0,0
s1-right,14.402503672478764,451,22,117.4090909090909,43.0,8.420253174763152,2.9508758314855874,0.9584352947231422,0.18181818181818182,0.25,0.0,6,0,12,4,0,0
s2-left,14.402503672478764,451,19,104.3157894736842,53.0,7.410992181117983,3.679915742793792,0.9744065174612323,0.15789473684210525,0.23076923076923078,0.0,6,0,10,3,0,0
s2-right,14.402503672478764,451,25,92.08,28.0,6.42388310421286,1.874674057649667,0.9923336204126426,0.08,0.1,0.0,5,0,18,2,0,0
s3-left,14.402503672478764,451,28,88.53571428571429,34.0,6.377859360152043,2.291268292682927,0.9504533891211047,0.21428571428571427,0.25,0.125,7,1,15,5,0,0
s3-right,14.402503672478764,451,40,86.425,59.5,6.386042461197339,4.478388026607538,0.9528805217383041,0.15,0.17142857142857143,0.0,5,0,29,6,0,0
s4-left,14.402503672478764,451,21,151.9047619047619,72.0,10.76863034526449,4.9296984478935695,0.9875471149834858,0.3333333333333333,0.35,0.0,1,0,13,7,0,0
s4-right,14.402503672478764,451,24,87.33333333333333,74.5,6.33570399113082,5.103279379157428,0.9644244275259378,0.125,0.1,0.25,3,1,18,2,0,0
